number_contacts,client_id,contact,contact_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
1,0,telephone,261,999,0,,no,1,2022-05-13
1,1,telephone,149,999,0,,no,1,2022-05-19
1,2,telephone,226,999,0,,no,1,2022-05-23
1,3,telephone,151,999,0,,no,1,2022-05-27
1,4,telephone,307,999,0,,no,1,2022-05-03
1,5,telephone,198,999,0,,no,1,2022-05-05
1,6,telephone,139,999,0,,no,1,2022-05-03
1,7,telephone,217,999,0,,no,1,2022-05-12
1,8,telephone,380,999,0,,no,1,2022-05-21
1,9,telephone,50,999,0,,no,1,2022-05-05
1,10,telephone,55,999,0,,no,1,2022-05-08
1,11,telephone,222,999,0,,no,1,2022-05-09
1,12,telephone,137,999,0,,no,1,2022-05-29
1,13,telephone,293,999,0,,no,1,2022-05-14
1,14,telephone,146,999,0,,no,1,2022-05-29
1,15,telephone,174,999,0,,no,1,2022-05-29
1,16,telephone,312,999,0,,no,1,2022-05-01
1,17,telephone,440,999,0,,no,1,2022-05-09
1,18,telephone,353,999,0,,no,1,2022-05-06
1,19,telephone,195,999,0,,no,1,2022-05-02
1,20,telephone,38,999,0,,no,1,2022-05-02
1,21,telephone,262,999,0,,no,1,2022-05-16
1,22,telephone,342,999,0,,no,1,2022-05-20
1,23,telephone,181,999,0,,no,1,2022-05-10
1,24,telephone,172,999,0,,no,1,2022-05-02
1,25,telephone,99,999,0,,no,1,2022-05-28
1,26,telephone,93,999,0,,no,1,2022-05-30
1,27,telephone,233,999,0,,no,1,2022-05-16
2,28,telephone,255,999,0,,no,1,2022-05-01
1,29,telephone,362,999,0,,no,1,2022-05-22
1,30,telephone,348,999,0,,no,1,2022-05-22
1,31,telephone,386,999,0,,no,1,2022-05-27
1,32,telephone,73,999,0,,no,1,2022-05-25
1,33,telephone,230,999,0,,no,1,2022-05-14
1,34,telephone,208,999,0,,no,1,2022-05-25
1,35,telephone,336,999,0,,no,1,2022-05-22
1,36,telephone,365,999,0,,no,1,2022-05-11
1,37,telephone,1666,999,0,,no,1,2022-05-03
1,38,telephone,577,999,0,,no,1,2022-05-02
1,39,telephone,137,999,0,,no,1,2022-05-20
1,40,telephone,366,999,0,,no,1,2022-05-05
1,41,telephone,314,999,0,,no,1,2022-05-25
1,42,telephone,160,999,0,,no,1,2022-05-22
1,43,telephone,212,999,0,,no,1,2022-05-01
1,44,telephone,188,999,0,,no,1,2022-05-17
1,45,telephone,22,999,0,,no,1,2022-05-28
1,46,telephone,616,999,0,,no,1,2022-05-15
1,47,telephone,178,999,0,,no,1,2022-05-03
1,48,telephone,355,999,0,,no,1,2022-05-26
2,49,telephone,225,999,0,,no,1,2022-05-26
1,50,telephone,160,999,0,,no,1,2022-05-03
1,51,telephone,266,999,0,,no,1,2022-05-09
1,52,telephone,253,999,0,,no,1,2022-05-11
1,53,telephone,179,999,0,,no,1,2022-05-13
2,54,telephone,269,999,0,,no,1,2022-05-12
1,55,telephone,135,999,0,,no,1,2022-05-08
1,56,telephone,161,999,0,,no,1,2022-05-17
1,57,telephone,787,999,0,,no,1,2022-05-08
1,58,telephone,145,999,0,,no,1,2022-05-08
1,59,telephone,174,999,0,,no,1,2022-05-18
1,60,telephone,449,999,0,,no,1,2022-05-03
1,61,telephone,812,999,0,,no,1,2022-05-23
1,62,telephone,164,999,0,,no,1,2022-05-27
1,63,telephone,366,999,0,,no,1,2022-05-29
1,64,telephone,357,999,0,,no,1,2022-05-19
1,65,telephone,232,999,0,,no,1,2022-05-15
1,66,telephone,91,999,0,,no,1,2022-05-16
1,67,telephone,273,999,0,,no,1,2022-05-21
2,68,telephone,158,999,0,,no,1,2022-05-29
1,69,telephone,177,999,0,,no,1,2022-05-04
1,70,telephone,200,999,0,,no,1,2022-05-28
1,71,telephone,172,999,0,,no,1,2022-05-26
1,72,telephone,176,999,0,,no,1,2022-05-18
1,73,telephone,211,999,0,,no,1,2022-05-14
1,74,telephone,214,999,0,,no,1,2022-05-26
1,75,telephone,1575,999,0,,yes,1,2022-05-20
1,76,telephone,349,999,0,,no,1,2022-05-16
2,77,telephone,337,999,0,,no,1,2022-05-28
1,78,telephone,272,999,0,,no,1,2022-05-30
